Sort Name,Date and Time,Test Number,Git Branch,Git Hash,Command Line Executed,Text File,Count of Strings,Type of File,Execution Time (real, to nearest ms)
insertionSort,10/14/22 01:03:51,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./insertionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.005
insertionSort,10/14/22 01:03:51,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./insertionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./insertionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./insertionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.003
insertionSort,10/14/22 01:03:51,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e0.txt | ./insertionSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./insertionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./insertionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./insertionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.003
insertionSort,10/14/22 01:03:51,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./insertionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e1.txt | ./insertionSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./insertionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./insertionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./insertionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./insertionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e2.txt | ./insertionSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./insertionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./insertionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./insertionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./insertionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e3.txt | ./insertionSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
insertionSort,10/14/22 01:03:51,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./insertionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
insertionSort,10/14/22 01:03:51,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./insertionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
insertionSort,10/14/22 01:03:51,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./insertionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
insertionSort,10/14/22 01:03:51,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./insertionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
insertionSort,10/14/22 01:03:51,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e4.txt | ./insertionSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.011
insertionSort,10/14/22 01:03:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./insertionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.083
insertionSort,10/14/22 01:03:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./insertionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.084
insertionSort,10/14/22 01:03:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./insertionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.086
insertionSort,10/14/22 01:03:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./insertionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.084
insertionSort,10/14/22 01:03:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat ordered.txt10e5.txt | ./insertionSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.087
insertionSort,10/14/22 01:03:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e0.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.003
insertionSort,10/14/22 01:03:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
insertionSort,10/14/22 01:03:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
insertionSort,10/14/22 01:03:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
insertionSort,10/14/22 01:03:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
insertionSort,10/14/22 01:03:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e1.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.003
insertionSort,10/14/22 01:03:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e2.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
insertionSort,10/14/22 01:03:52,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.024
insertionSort,10/14/22 01:03:52,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.024
insertionSort,10/14/22 01:03:52,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.024
insertionSort,10/14/22 01:03:52,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.024
insertionSort,10/14/22 01:03:52,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e3.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.024
insertionSort,10/14/22 01:03:54,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,1.913
insertionSort,10/14/22 01:03:56,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,1.927
insertionSort,10/14/22 01:03:58,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,1.914
insertionSort,10/14/22 01:04:00,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,1.919
insertionSort,10/14/22 01:04:02,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e4.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,1.948
insertionSort,10/14/22 01:07:13,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,191.376
insertionSort,10/14/22 01:10:24,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,190.700
insertionSort,10/14/22 01:13:35,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,190.622
insertionSort,10/14/22 01:16:45,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,190.801
insertionSort,10/14/22 01:19:56,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat reverse-ordered.txt10e5.txt | ./insertionSort > /dev/null,reverse-ordered.txt10e5.txt,100000,reverse-ordered.txt,190.680
insertionSort,10/14/22 01:19:56,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./insertionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.006
insertionSort,10/14/22 01:19:56,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./insertionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.004
insertionSort,10/14/22 01:19:56,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./insertionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.004
insertionSort,10/14/22 01:19:56,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./insertionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.003
insertionSort,10/14/22 01:19:56,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e0.txt | ./insertionSort > /dev/null,random.txt10e0.txt,1,random.txt,0.003
insertionSort,10/14/22 01:19:56,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./insertionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
insertionSort,10/14/22 01:19:56,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./insertionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
insertionSort,10/14/22 01:19:56,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./insertionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
insertionSort,10/14/22 01:19:56,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./insertionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
insertionSort,10/14/22 01:19:56,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e1.txt | ./insertionSort > /dev/null,random.txt10e1.txt,10,random.txt,0.003
insertionSort,10/14/22 01:19:56,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./insertionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.003
insertionSort,10/14/22 01:19:56,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./insertionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.004
insertionSort,10/14/22 01:19:56,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./insertionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.003
insertionSort,10/14/22 01:19:56,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./insertionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.003
insertionSort,10/14/22 01:19:56,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e2.txt | ./insertionSort > /dev/null,random.txt10e2.txt,100,random.txt,0.003
insertionSort,10/14/22 01:19:56,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./insertionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.014
insertionSort,10/14/22 01:19:56,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./insertionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.014
insertionSort,10/14/22 01:19:56,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./insertionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.014
insertionSort,10/14/22 01:19:56,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./insertionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.014
insertionSort,10/14/22 01:19:56,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e3.txt | ./insertionSort > /dev/null,random.txt10e3.txt,1000,random.txt,0.014
insertionSort,10/14/22 01:19:57,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./insertionSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.962
insertionSort,10/14/22 01:19:58,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./insertionSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.968
insertionSort,10/14/22 01:19:59,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./insertionSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.963
insertionSort,10/14/22 01:20:00,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./insertionSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.963
insertionSort,10/14/22 01:20:01,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e4.txt | ./insertionSort > /dev/null,random.txt10e4.txt,10000,random.txt,0.987
insertionSort,10/14/22 01:21:37,1,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./insertionSort > /dev/null,random.txt10e5.txt,100000,random.txt,95.257
insertionSort,10/14/22 01:23:12,2,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./insertionSort > /dev/null,random.txt10e5.txt,100000,random.txt,95.295
insertionSort,10/14/22 01:24:47,3,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./insertionSort > /dev/null,random.txt10e5.txt,100000,random.txt,95.178
insertionSort,10/14/22 01:26:22,4,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./insertionSort > /dev/null,random.txt10e5.txt,100000,random.txt,95.281
insertionSort,10/14/22 01:27:58,5,main,bcb7f3980a593e749a343271914aac3a28eacaa5,time cat random.txt10e5.txt | ./insertionSort > /dev/null,random.txt10e5.txt,100000,random.txt,95.340
